timestamp_start,timestamp_end,notes,technician_id,meter_id,activity_type_id,location_id
2022-12-05 04:13:28,2022-06-30 14:40:07,test notes,11,22,1,3
2022-12-09 03:25:41,2022-04-16 18:22:56,test notes,13,28,2,2
2023-01-29 02:58:28,2023-05-21 18:45:01,test notes,2,66,1,3
2022-11-30 21:24:36,2020-10-11 23:19:16,test notes,4,86,1,5
2022-12-26 01:04:09,2022-11-08 10:02:25,test notes,1,27,2,2
2022-12-11 10:59:25,2022-12-06 01:31:05,test notes,2,26,4,1
2023-02-18 03:52:49,2020-06-02 16:44:18,test notes,10,88,3,4
2022-11-11 04:13:57,2021-06-03 15:09:55,test notes,5,58,4,2
2022-10-18 05:29:23,2021-02-23 12:20:45,test notes,3,79,2,2
2022-12-13 03:06:21,2021-12-20 06:55:47,test notes,3,16,3,1
2022-12-17 15:48:33,2022-09-20 14:27:37,test notes,13,78,4,7
2023-05-03 15:41:36,2021-10-16 04:40:16,test notes,9,18,2,6
2023-01-13 11:32:36,2021-11-18 05:30:20,test notes,11,77,2,6
2022-12-04 01:38:36,2022-08-06 05:08:01,test notes,3,27,3,4
2023-01-07 02:12:27,2023-01-01 08:56:23,test notes,10,42,4,3
2022-10-25 07:05:02,2020-11-05 08:45:15,test notes,7,36,4,5
2022-11-27 12:23:04,2020-08-07 08:56:20,test notes,4,1,1,5
2022-11-28 18:37:11,2020-11-06 17:23:08,test notes,2,100,4,5
2022-11-08 06:29:39,2022-02-01 08:14:47,test notes,14,49,3,7
2023-03-01 09:05:21,2022-03-21 16:09:32,test notes,8,35,1,3
2023-05-01 18:15:39,2023-06-30 01:55:57,test notes,4,64,4,7
2022-09-18 03:06:00,2022-12-16 10:09:59,test notes,5,26,2,7
2022-12-18 12:02:36,2021-11-26 17:08:40,test notes,6,61,3,5
2023-05-08 22:54:42,2022-12-19 11:15:24,test notes,7,45,4,4
2023-03-12 01:40:09,2022-03-28 13:53:19,test notes,13,97,3,7
2022-08-29 09:04:47,2021-01-14 13:17:23,test notes,4,59,1,5
2022-08-27 10:34:58,2020-05-14 10:04:35,test notes,9,8,3,1
2023-03-05 13:00:24,2021-10-05 21:21:23,test notes,12,53,4,5
2023-05-21 14:21:21,2021-08-05 11:47:43,test notes,5,6,3,5
2023-02-04 04:13:55,2020-10-09 14:40:59,test notes,13,15,1,1
2022-08-02 22:49:25,2020-11-14 07:52:01,test notes,1,97,2,2
2023-03-01 03:10:22,2022-12-19 06:33:25,test notes,2,68,2,2
2022-11-17 20:57:25,2021-08-05 12:03:44,test notes,7,40,1,2
2023-03-06 22:59:39,2023-03-31 13:13:20,test notes,13,79,2,6
2022-08-09 01:35:13,2020-12-26 19:48:54,test notes,14,73,3,3
2022-08-12 14:03:16,2021-09-16 08:10:20,test notes,4,51,2,6
2022-11-25 22:32:23,2020-09-16 20:32:56,test notes,8,21,1,7
2023-05-30 03:57:24,2022-06-01 06:50:22,test notes,10,30,2,3
2023-05-12 14:26:02,2020-12-10 05:39:59,test notes,12,63,1,5
2023-01-29 04:45:27,2021-02-26 06:58:53,test notes,11,31,2,4
2022-07-31 12:35:40,2022-05-04 11:01:56,test notes,6,97,1,7
2022-12-02 06:13:27,2020-07-09 02:00:19,test notes,4,15,2,4
2022-08-11 01:16:52,2023-01-26 07:57:14,test notes,8,63,2,4
2023-04-17 09:15:57,2022-09-07 08:36:22,test notes,5,68,1,7
2023-02-06 16:44:13,2021-07-26 12:25:30,test notes,1,32,2,2
2023-01-01 20:26:43,2020-12-03 08:01:44,test notes,4,32,2,4
2023-01-26 21:04:55,2020-12-15 08:20:02,test notes,12,20,3,1
2023-03-25 07:06:15,2022-11-15 05:26:47,test notes,9,33,4,4
2022-09-12 15:44:00,2020-10-11 16:23:06,test notes,4,23,4,7
2022-07-26 11:25:35,2020-10-31 19:15:37,test notes,12,61,2,3
2023-01-15 22:54:14,2023-05-09 09:59:21,test notes,10,79,3,7
2023-01-06 14:23:45,2020-05-01 15:36:09,test notes,13,74,1,2
2022-09-16 14:49:13,2020-05-23 13:01:06,test notes,11,72,2,4
2022-12-24 21:34:36,2021-07-05 07:52:16,test notes,7,26,3,1
2023-01-29 09:34:12,2021-04-15 16:12:43,test notes,12,89,4,3
2023-02-10 12:47:36,2022-10-24 01:37:48,test notes,1,11,3,5
2022-09-15 01:53:52,2023-07-07 05:08:03,test notes,9,56,1,4
2023-06-05 02:13:10,2021-01-27 10:22:39,test notes,8,47,2,3
2022-12-25 17:35:37,2020-10-07 14:26:09,test notes,1,4,4,5
2023-05-07 05:40:53,2023-04-24 17:23:22,test notes,9,82,3,3
2023-04-05 09:46:26,2021-01-03 06:30:32,test notes,10,79,2,2
2022-08-23 01:28:26,2021-05-05 09:32:41,test notes,4,39,3,4
2022-07-24 02:25:32,2023-06-04 20:58:25,test notes,7,69,1,2
2022-12-01 00:59:35,2022-10-23 04:55:42,test notes,4,43,2,1
2022-12-03 12:06:04,2021-09-26 03:30:55,test notes,9,42,2,4
2023-02-28 08:50:40,2020-06-27 17:18:54,test notes,11,29,3,1
2023-06-08 10:56:36,2021-10-24 17:11:55,test notes,8,30,4,3
2022-07-24 19:00:52,2022-05-30 16:56:53,test notes,5,87,1,1
2023-01-22 09:17:31,2022-06-20 22:53:58,test notes,13,49,2,1
2022-12-12 09:46:58,2022-01-11 01:10:37,test notes,8,18,1,2
2022-09-21 20:29:19,2021-12-19 23:59:16,test notes,2,67,1,6
2023-02-26 07:45:16,2020-05-12 06:05:28,test notes,6,79,4,7
2023-05-22 20:10:13,2021-04-28 16:24:24,test notes,1,91,2,1
2022-07-22 08:03:37,2023-06-30 21:55:25,test notes,11,40,4,2
2023-04-06 21:05:35,2023-03-24 09:20:05,test notes,12,26,3,7
2022-12-11 09:11:09,2021-05-25 04:05:57,test notes,8,39,2,2
2022-11-25 09:28:43,2021-09-09 10:23:23,test notes,1,16,2,1
2022-12-05 09:18:25,2021-08-01 13:48:37,test notes,8,39,3,3
2023-03-14 15:52:27,2023-05-22 11:21:21,test notes,3,30,2,1
2023-04-03 08:46:50,2021-07-16 11:13:02,test notes,11,43,1,6
2023-06-20 08:54:47,2023-03-11 16:04:26,test notes,9,56,1,2
2022-10-03 06:23:06,2021-04-20 09:54:23,test notes,1,20,1,6
2023-01-07 07:44:03,2022-04-26 16:49:43,test notes,3,69,1,1
2023-06-26 04:52:49,2020-06-27 03:14:22,test notes,13,29,2,6
2022-08-22 06:45:56,2020-05-12 13:32:42,test notes,11,26,4,6
2022-11-09 05:08:23,2021-09-15 16:11:15,test notes,8,59,3,6
2023-05-10 21:06:48,2022-01-18 07:54:57,test notes,3,37,1,2
2022-09-15 07:43:18,2021-09-04 15:11:42,test notes,14,74,1,1
2023-07-02 23:53:59,2022-12-12 06:56:15,test notes,2,54,4,3
2023-02-27 14:12:02,2022-12-23 22:52:00,test notes,9,9,1,6
2022-09-21 22:53:26,2020-07-08 03:47:45,test notes,5,24,4,3
2023-04-12 09:26:56,2021-04-03 05:50:12,test notes,7,2,4,5
2022-11-12 14:13:21,2020-10-11 11:38:48,test notes,13,19,3,4
2022-11-12 18:48:01,2022-10-01 15:17:26,test notes,8,99,3,1
2023-02-11 01:01:32,2021-10-26 16:30:25,test notes,8,51,2,3
2022-10-29 15:24:12,2022-04-06 16:01:23,test notes,4,27,1,4
2023-03-19 04:33:45,2021-11-03 20:04:48,test notes,11,73,4,4
2022-08-25 03:56:24,2020-08-21 06:56:00,test notes,1,91,3,4
2023-01-28 00:32:26,2022-11-22 23:28:06,test notes,1,6,2,3
2022-07-20 16:23:32,2022-12-23 06:28:56,test notes,13,85,3,6
2022-11-21 07:02:17,2020-12-18 04:21:56,test notes,11,73,1,6
2022-12-24 11:22:08,2023-05-07 06:00:35,test notes,5,95,4,6
2023-03-13 05:30:17,2021-05-14 03:09:49,test notes,5,21,3,4
2023-01-19 18:07:17,2021-04-11 15:40:38,test notes,1,96,1,3
2022-09-27 23:55:29,2021-08-08 01:13:37,test notes,14,45,3,6
2023-05-23 23:46:04,2022-02-07 22:39:41,test notes,1,36,2,4
2022-09-19 21:07:32,2020-08-17 18:18:40,test notes,11,52,2,1
2023-03-13 12:40:10,2022-04-20 23:34:12,test notes,5,85,1,5
2023-01-25 14:57:12,2021-06-04 12:47:03,test notes,13,54,3,6
2023-01-08 00:35:13,2021-10-24 17:46:13,test notes,5,3,3,2
2023-04-15 08:03:17,2020-05-28 14:20:05,test notes,7,15,4,7
2022-08-07 09:32:47,2021-12-19 12:18:04,test notes,8,41,2,2
2023-05-26 07:39:45,2022-07-13 02:42:55,test notes,10,97,2,4
2022-08-16 21:40:53,2022-03-24 04:54:14,test notes,9,24,2,3
2022-11-21 05:24:26,2022-01-16 15:09:17,test notes,1,29,3,5
2022-10-08 00:49:35,2023-02-28 10:11:29,test notes,14,42,3,5
2022-10-12 00:11:34,2021-12-31 06:17:20,test notes,14,27,1,3
2023-07-09 05:22:13,2023-02-26 17:27:44,test notes,5,32,2,3
2023-03-30 10:44:58,2022-04-20 02:29:33,test notes,3,85,2,6
2023-03-24 11:46:56,2021-03-17 04:52:17,test notes,2,80,3,1
2022-07-16 06:13:33,2021-02-19 06:50:04,test notes,7,6,3,1
2023-03-02 21:07:43,2022-01-24 01:02:14,test notes,9,57,3,4
2022-11-29 04:52:53,2023-02-05 03:24:56,test notes,11,18,3,7
2023-03-14 03:01:51,2022-05-10 16:16:12,test notes,10,62,1,5
2023-01-27 01:56:52,2021-10-28 13:57:48,test notes,5,14,2,3
2022-09-26 23:27:37,2023-05-25 08:33:14,test notes,9,50,2,3
2023-06-05 09:52:04,2021-04-09 03:53:45,test notes,11,50,3,2
2023-01-29 16:00:36,2022-12-10 09:29:05,test notes,14,92,4,7
2023-03-22 22:03:02,2022-10-12 10:07:30,test notes,5,17,3,2
2022-09-12 13:24:10,2022-04-04 05:12:19,test notes,8,41,2,2
2022-10-30 12:51:43,2020-04-16 17:53:05,test notes,1,57,2,6
2022-11-21 07:08:02,2020-08-12 23:20:23,test notes,10,24,1,5
2023-04-01 13:05:50,2020-07-04 17:15:22,test notes,9,40,3,4
2022-10-25 05:40:30,2023-02-02 00:15:02,test notes,12,87,3,7
2023-04-18 15:51:55,2023-06-28 23:40:16,test notes,5,90,2,4
2022-07-22 15:36:15,2020-11-30 21:10:17,test notes,6,41,3,5
2022-09-24 02:41:05,2020-06-10 11:00:18,test notes,10,30,3,2
2023-03-09 07:27:07,2021-04-30 09:03:43,test notes,7,35,3,2
2022-08-19 15:26:28,2020-08-30 04:36:23,test notes,8,83,1,3
2022-08-06 11:34:15,2020-10-17 23:06:10,test notes,3,19,2,7
2023-07-08 06:05:04,2023-07-08 12:35:14,test notes,5,82,2,3
2022-12-01 01:45:53,2022-03-30 22:57:50,test notes,14,36,2,4
2022-10-13 08:36:01,2021-10-24 05:13:50,test notes,6,60,4,3
2023-03-22 17:11:39,2020-09-24 21:19:21,test notes,8,74,3,1
2022-07-22 13:22:42,2021-03-19 14:25:32,test notes,1,30,1,4
2023-01-09 08:54:33,2023-01-14 10:39:02,test notes,2,47,2,4
2023-06-02 10:25:53,2023-06-04 00:56:16,test notes,14,90,4,3
2023-01-29 05:34:06,2022-11-13 17:16:06,test notes,11,72,3,1
2022-11-03 03:13:53,2021-05-04 23:55:34,test notes,2,26,2,7
2023-03-04 10:59:35,2020-11-25 07:47:50,test notes,13,58,2,7
2022-09-08 17:45:32,2023-02-14 19:27:51,test notes,14,69,3,1
2022-11-16 22:09:47,2022-07-28 23:56:50,test notes,11,92,3,6
2022-09-21 01:25:02,2021-05-18 14:37:31,test notes,12,17,4,6
2022-09-15 15:01:09,2022-06-05 09:55:34,test notes,9,49,2,5
2023-01-03 07:10:43,2023-01-19 15:42:47,test notes,9,94,4,5
2023-04-09 20:06:26,2020-07-17 21:56:53,test notes,2,14,3,7
2023-03-06 19:48:53,2020-05-06 05:43:36,test notes,4,66,2,7
2022-11-06 09:04:01,2022-10-19 03:17:14,test notes,11,88,2,3
2022-12-01 16:55:53,2021-04-16 12:36:49,test notes,3,7,3,1
2023-06-09 21:33:03,2021-09-23 18:29:31,test notes,6,71,4,2
2022-11-18 00:46:42,2021-02-10 01:41:24,test notes,7,22,3,7
2023-02-07 15:28:10,2023-02-24 02:25:24,test notes,13,16,1,1
2023-02-19 06:47:57,2022-11-15 19:21:49,test notes,14,63,1,6
2023-05-17 10:49:26,2022-09-20 12:26:29,test notes,11,82,1,7
2023-06-12 15:15:14,2022-08-31 11:39:32,test notes,5,35,3,3
2023-04-14 01:59:22,2020-10-10 20:08:11,test notes,14,73,4,5
2022-10-18 02:23:09,2022-11-08 15:47:37,test notes,7,96,4,6
2022-08-12 08:55:10,2020-08-01 15:25:11,test notes,10,28,3,2
2023-02-16 15:06:13,2021-12-14 07:54:44,test notes,12,22,1,5
2022-07-24 22:09:54,2020-06-09 01:06:28,test notes,6,4,3,6
2023-05-13 08:06:47,2021-06-08 23:20:40,test notes,12,13,3,7
2023-01-15 08:04:04,2021-01-29 22:53:23,test notes,10,88,4,4
2023-04-30 12:02:57,2022-01-03 06:27:17,test notes,2,48,3,1
2022-08-09 20:18:31,2021-04-26 04:16:35,test notes,10,66,2,7
2023-03-14 06:00:14,2023-03-15 09:07:12,test notes,11,39,1,7
2022-10-09 01:08:52,2021-06-16 16:48:45,test notes,2,2,4,3
2023-04-20 03:26:10,2023-01-24 23:12:43,test notes,9,16,3,3
2023-07-04 21:13:37,2023-04-12 22:50:48,test notes,3,87,2,2
2022-08-15 17:11:58,2022-10-16 06:20:56,test notes,3,84,4,1
2022-08-19 17:13:50,2020-06-12 02:41:31,test notes,11,48,2,1
2023-06-21 10:35:39,2020-10-15 06:54:17,test notes,10,85,2,7
2023-04-18 16:36:46,2020-07-24 19:12:57,test notes,4,87,3,4
2023-03-18 04:39:47,2021-01-20 01:21:08,test notes,2,97,3,1
2023-05-23 01:20:17,2021-06-24 07:59:57,test notes,5,27,4,3
2022-09-18 03:09:06,2023-03-08 14:16:21,test notes,1,55,2,5
2023-03-26 11:48:29,2020-12-14 11:28:54,test notes,7,20,4,3
2023-01-27 19:19:39,2021-10-14 21:11:20,test notes,2,74,3,2
2022-10-24 16:47:43,2022-07-10 23:27:36,test notes,10,36,1,5
2022-09-18 11:06:09,2022-12-20 06:23:42,test notes,13,31,3,3
2023-06-15 20:09:11,2021-10-08 02:03:49,test notes,11,6,1,5
2022-09-26 07:38:53,2023-04-20 01:32:40,test notes,13,85,4,2
2022-09-19 08:48:23,2020-09-17 03:49:43,test notes,9,58,2,2
2023-03-05 13:48:23,2023-01-16 18:04:00,test notes,12,14,3,4
2022-10-24 09:45:33,2022-03-07 23:45:06,test notes,4,90,3,7
2022-10-24 19:01:56,2022-04-10 08:49:13,test notes,7,27,1,6
2022-10-10 01:04:12,2022-05-12 03:36:20,test notes,10,81,1,5
2023-03-07 06:11:54,2021-03-17 05:37:05,test notes,1,100,3,5
2023-05-21 11:30:22,2023-06-05 07:05:20,test notes,9,36,4,5
2022-10-11 01:22:50,2022-07-14 20:28:29,test notes,11,2,2,4
