well_id,name,sRANumber,location_id
1,0941-A-E,0941-A-E,115
2,1 & 595,1 & 595,1019
3,1002,1002,643
4,1007,1007,1078
5,1009,1009,711
6,1010,1010,784
7,1011,1011,745
8,1011-S,1011-S,748
9,1012,1012,213
10,1014,1014,978
11,1014 POD3,1014 POD3,476
12,1014-A,1014-A,99
13,1014-AS,1014-AS,921
14,1014-S,1014-S,1295
15,1015,1015,979
16,1015;1012-S,1015;1012-S,1169
17,1017-A,1017-A,453
18,1020-S,1020-S,350
19,1020-S2,1020-S2,886
20,1024/381POD3,1024/381POD3,970
21,1026,1026,309
22,10265,10265,500
23,10266,10266,100
24,1028,1028,981
25,1029,1029,1035
26,10313,10313,549
27,10313 POD2,10313 POD2,549
28,1032,1032,1243
29,1033,1033,591
30,10335,10335,243
31,10342,10342,334
32,10342 POD 2,10342 POD 2,334
33,1037,1037,868
34,1039,1039,812
35,10392,10392,611
36,104,104,846
37,1044,1044,1228
38,1045,1045,1226
39,1046POD2,1046POD2,870
40,1048,1048,142
41,1050,1050,707
42,1054,1054,71
43,1058-A,1058-A,1239
44,10616,10616,178
45,1063,1063,49
46,10639,10639,33
47,1064,1064,1016
48,1065,1065,199
49,10674,10674,618
50,10675/ 637B,10675/ 637B,176
51,1069,1069,759
52,1069-BAA,1069-BAA,337
53,1069-S,1069-S,1107
54,1069-S2,1069-S2,226
55,1069-S3,1069-S3,98
56,10716,10716,330
57,10718,10718,326
58,1074,1074,725
59,1078,1078,370
60,1078-S,1078-S,370
61,10817,10817,322
62,10818,10818,324
63,10836,10836,622
64,10840 POD 2,10840 POD 2,557
65,1087,1087,1096
66,10898,10898,323
67,1090,1090,1037
68,10907,10907,653
69,10917,10917,345
70,10918,10918,329
71,10929,10929,325
72,1094,1094,474
73,10949,10949,328
74,1097,1097,675
75,10973,10973,346
76,10977,10977,667
77,10;1168,10;1168,223
78,1100,1100,819
79,11008,11008,242
80,1101,1101,230
81,1104,1104,818
82,11046,11046,241
83,1112,1112,134
84,1113,1113,1136
85,1113-S,1113-S,1234
86,1115,1115,1023
87,1117,1117,949
88,1123,1123,531
89,1123-S,1123-S,893
90,1127,1127,767
91,1128,1128,226
92,113,113,227
93,1130,1130,108
94,1131-S,1131-S,205
95,1132,1132,1185
96,1132 POD 10,1132 POD 10,512
97,1132 POD 13,1132 POD 13,512
98,1132-S,1132-S,176
99,1132-S6,1132-S6,379
100,1132-S7,1132-S7,379
101,11337,11337,374
102,1135,1135,1273
103,1136-A,1136-A,631
104,1136-D-A,1136-D-A,255
105,1138-AA;967,1138-AA;967,433
106,114,114,859
107,114-S,114-S,61
108,114-S2,114-S2,77
109,1149,1149,594
110,1152,1152,41
111,1152-S2,1152-S2,41
112,1153,1153,993
113,11539 POD 1,11539 POD 1,504
114,11539 POD 2,11539 POD 2,504
115,1154,1154,1082
116,1154-S,1154-S,770
117,1156,1156,306
118,1158,1158,536
119,1158-S,1158-S,19
120,1159-E,1159-E,491
121,1159-S,1159-S,187
122,1159-S3,1159-S3,187
123,1159-S8,1159-S8,287
124,11643,11643,413
125,1165-POD 12,1165-POD 12,456
126,1165-S3,1165-S3,62
127,1165-S6,1165-S6,56
128,1167,1167,88
129,1167 A,1167 A,1300
130,1167-731B,1167-731B,138
131,1169,1169,463
132,117,117,1253
133,1170,1170,565
134,1171,1171,168
135,1171-S,1171-S,168
136,1171-S2,1171-S2,1351
137,1174,1174,53
138,1175,1175,274
139,1176 POD 3,1176 POD 3,173
140,1176-S2,1176-S2,1146
141,1183,1183,1070
142,1185-A,1185-A,1007
143,1186-POD2,1186-POD2,423
144,1186;1481,1186;1481,47
145,1188,1188,48
146,1189,1189,1161
147,119,119,428
148,1191,1191,535
149,1191;1191SA,1191;1191SA,210
150,1193,1193,738
151,1193-AA,1193-AA,991
152,1195,1195,741
153,1198-S,1198-S,97
154,1200,1200,1103
155,1201-A,1201-A,688
156,1204,1204,107
157,1204-S2,1204-S2,26
158,1204-S3,1204-S3,1305
159,1204-S4,1204-S4,26
160,1204;637B,1204;637B,1305
161,1206,1206,1030
162,1207,1207,1019
163,1207 POD 2,1207 POD 2,558
164,1210,1210,600
165,1210 POD 7,1210 POD 7,600
166,1210-S,1210-S,1349
167,1211,1211,871
168,1213,1213,79
169,1213-S,1213-S,1152
170,1215,1215,1350
171,1217,1217,729
172,1220,1220,802
173,1220-S-1220A,1220-S-1220A,1084
174,1220-S2,1220-S2,971
175,1221,1221,179
176,1223,1223,915
177,1226,1226,27
178,1227,1227,883
179,1228-S,1228-S,181
180,1229,1229,828
181,1229-AA,1229-AA,1062
182,1229-POD3,1229-POD3,890
183,1230,1230,555
184,1232 &1286,1232 &1286,276
185,1232-AA,1232-AA,402
186,1232-AAS,1232-AAS,402
187,123483 POD 1,123483 POD 1,528
188,1238 POD12,1238 POD12,666
189,1238 POD13,1238 POD13,733
190,1238-S2,1238-S2,766
191,1238-S5,1238-S5,989
192,1238-S7,1238-S7,1080
193,1238-S9,1238-S9,1203
194,1239-A,1239-A,1281
195,1241 POD2,1241 POD2,462
196,1243-A,1243-A,774
197,1243-C,1243-C,932
198,1246-A,1246-A,42
199,1248,1248,1233
200,1248-A-S,1248-A-S,244
201,12482 exp,12482 exp,515
202,1249,1249,714
203,125,125,938
204,1250 POD 4,1250 POD 4,1083
205,1250-A,1250-A,158
206,1250-B,1250-B,1097
207,1250-D,1250-D,135
208,1250-E,1250-E,607
209,1250-F POD2,1250-F POD2,437
210,1251,1251,1001
211,1253-S,1253-S,1053
212,1253-S4,1253-S4,1053
213,1253POD5,1253POD5,383
214,1254-S3,1254-S3,1196
215,1254-S4,1254-S4,45
216,1255,1255,1085
217,1255 POD3,1255 POD3,566
218,1255-A,1255-A,130
219,1258,1258,1127
220,1258-S,1258-S,1127
221,1259,1259,647
222,1259 POD 6,1259 POD 6,488
223,1259-S,1259-S,1045
224,1259-S2,1259-S2,1186
225,1259-S3,1259-S3,33
226,126,126,60
227,1262,1262,16
228,1262-S-2,1262-S-2,282
229,1263 POD 12,1263 POD 12,276
230,1263 POD 13,1263 POD 13,588
231,1263 POD 14,1263 POD 14,587
232,1263-A-S,1263-A-S,486
233,1263-C-A-A,1263-C-A-A,430
234,1263-CAA,1263-CAA,430
235,1263-F,1263-F,206
236,1263-S,1263-S,206
237,1264,1264,1285
238,1265,1265,702
239,1265 POD 2,1265 POD 2,175
240,1267 POD 7,1267 POD 7,539
241,1267-S2,1267-S2,460
242,1267-S3,1267-S3,268
243,1267;1268,1267;1268,655
244,1269,1269,865
245,1269S,1269S,537
246,1270,1270,1277
247,1270 POD15,1270 POD15,556
248,1270-B,1270-B,416
249,1270-S2,1270-S2,891
250,1270-S6;202-S,1270-S6;202-S,900
251,1271,1271,396
252,1271-S,1271-S,809
253,1271-S3,1271-S3,1036
254,1273,1273,867
255,1278,1278,698
256,1278 AS,1278 AS,59
257,1278 AS3,1278 AS3,1122
258,1278 AS4,1278 AS4,585
259,1278 AS5,1278 AS5,28
260,1279,1279,625
261,1279-S,1279-S,583
262,1280 POD 7,1280 POD 7,937
263,1280;1617,1280;1617,907
264,1280;1617-S2,1280;1617-S2,726
265,1280;1617-S4,1280;1617-S4,680
266,12817,12817,630
267,1284,1284,363
268,1284 POD 8,1284 POD 8,598
269,1284 POD6,1284 POD6,473
270,1284-S4,1284-S4,1274
271,1286,1286,1058
272,1286-A,1286-A,1125
273,1286-AS,1286-AS,1125
274,1286-S,1286-S,484
275,12887 POD 2,12887 POD 2,626
276,1288;1522,1288;1522,595
277,1290,1290,756
278,1292,1292,1163
279,1292-S,1292-S,1020
280,1293,1293,61
281,1295,1295,136
282,1295-S,1295-S,861
283,1296,1296,833
284,1296-A,1296-A,223
285,1296-S,1296-S,715
286,1296-S-4,1296-S-4,153
287,1296-S2,1296-S2,161
288,1297-B,1297-B,942
289,1297-B-S-3,1297-B-S-3,186
290,1297-BS,1297-BS,942
291,1297-BS2,1297-BS2,942
292,1297-BS3,1297-BS3,1312
293,12974 pod 1,12974 pod 1,630
294,1298-S,1298-S,106
295,1299,1299,1101
296,1299-S,1299-S,808
297,130-S,130-S,1298
298,130-S2,130-S2,672
299,1300,1300,1160
300,1302,1302,761
301,1302 POD  4,1302 POD  4,513
302,1302-A,1302-A,339
303,1302-S,1302-S,32
304,1302-S2,1302-S2,514
305,1306-S,1306-S,627
306,13060 POD1,13060 POD1,596
307,1306E,1306E,727
308,1307,1307,1289
309,13071-POD 1,13071-POD 1,621
310,13090 POD 1,13090 POD 1,615
311,1310,1310,1075
312,1310-S,1310-S,295
313,1312,1312,1038
314,1314,1314,157
315,1314-POD4,1314-POD4,112
316,1314-S-2,1314-S-2,279
317,1316,1316,1102
318,1316-A,1316-A,955
319,1317,1317,848
320,"1318,1319","1318,1319",1297
321,1323 POD 9,1323 POD 9,633
322,1323 POD4,1323 POD4,1000
323,1323-A,1323-A,691
324,1323-S,1323-S,897
325,1323-S2,1323-S2,1325
326,1323AAC,1323AAC,561
327,1324,1324,684
328,1324-POD4,1324-POD4,1344
329,1324-S,1324-S,317
330,1324-S-2,1324-S-2,312
331,1326,1326,475
332,1328,1328,114
333,1329,1329,1255
334,1329-S,1329-S,146
335,1329-S2,1329-S2,193
336,1330,1330,342
337,1331,1331,946
338,1331POD2,1331POD2,438
339,1333-A,1333-A,89
340,1333-B,1333-B,173
341,1333-E,1333-E,906
342,1334 POD8,1334 POD8,546
343,1334-A,1334-A,419
344,1334-A-POD4,1334-A-POD4,419
345,1334-AS,1334-AS,419
346,1334-B,1334-B,1345
347,1334-BB,1334-BB,908
348,1334-BBS2,1334-BBS2,1129
349,1334-BS,1334-BS,1129
350,1335-B,1335-B,85
351,1335;3169-BS,1335;3169-BS,254
352,1337-A,1337-A,569
353,1337-C,1337-C,50
354,1337-CS,1337-CS,895
355,133;1111,133;1111,159
356,1343,1343,889
357,1343-S,1343-S,841
358,1344 S,1344 S,503
359,1344-A,1344-A,344
360,1346-BA,1346-BA,468
361,1346-C,1346-C,1250
362,1346-D,1346-D,911
363,1348,1348,219
364,1349,1349,36
365,1349-A,1349-A,36
366,1350-A,1350-A,651
367,1352,1352,224
368,1353,1353,872
369,1355,1355,34
370,1355-A,1355-A,34
371,1356,1356,1026
372,1360,1360,1158
373,1360-S,1360-S,1158
374,1368,1368,178
375,1368 POD,1368 POD,269
376,1368-S,1368-S,1348
377,1368-S2,1368-S2,269
378,1368-S3,1368-S3,962
379,1368-S6,1368-S6,178
380,1369-S,1369-S,496
381,137,137,1193
382,1370,1370,914
383,1371-A,1371-A,49
384,1375,1375,1323
385,1376,1376,253
386,1376 POD4,1376 POD4,353
387,1376-S,1376-S,253
388,1378,1378,30
389,1379,1379,65
390,1379-S,1379-S,904
391,138,138,604
392,138-B,138-B,1119
393,1380,1380,1043
394,1380-S,1380-S,999
395,1382-B,1382-B,441
396,1382-B;9279,1382-B;9279,636
397,1382-BB,1382-BB,641
398,1385,1385,845
399,1387,1387,1330
400,1387 POD 14,1387 POD 14,553
401,1387 POD 15,1387 POD 15,554
402,1387-S,1387-S,1317
403,1387-S2,1387-S2,204
404,1387-S3,1387-S3,169
405,1387-S4,1387-S4,1339
406,1387-S5,1387-S5,1309
407,1387-S6,1387-S6,68
408,1387-S7,1387-S7,68
409,1387-S8,1387-S8,1314
410,1389,1389,579
411,1390,1390,1208
412,1391,1391,55
413,1392,1392,55
414,1396,1396,24
415,1396-S,1396-S,1311
416,1396-S2,1396-S2,1232
417,1396-S3,1396-S3,1322
418,1398,1398,1166
419,1399,1399,807
420,14,14,80
421,14-A,14-A,1005
422,1400-A,1400-A,1278
423,1402-S2,1402-S2,669
424,1402;1328,1402;1328,119
425,1402AD 7168-2,1402AD 7168-2,521
426,1403,1403,220
427,1404,1404,220
428,1404-A,1404-A,459
429,1404-AS,1404-AS,458
430,1405-S,1405-S,709
431,1408,1408,561
432,1409,1409,163
433,141,141,1307
434,1411-AS,1411-AS,827
435,1411-D,1411-D,493
436,1412-B,1412-B,490
437,1412-C,1412-C,72
438,1414,1414,125
439,1414-S2,1414-S2,1336
440,1414C OR 1414CC,1414C OR 1414CC,245
441,1415,1415,1326
442,1415 Pod 4,1415 Pod 4,541
443,1415-S,1415-S,1326
444,1417 1478 POD 2,1417 1478 POD 2,66
445,1417-B,1417-B,31
446,1417-C;1417-CC,1417-C;1417-CC,57
447,1417-CS4,1417-CS4,983
448,1417-D,1417-D,1282
449,1418,1418,1195
450,1418 POD 5,1418 POD 5,543
451,1418-A,1418-A,597
452,1418-S2,1418-S2,63
453,1419,1419,261
454,1419-AA,1419-AA,197
455,1419-AAS,1419-AAS,293
456,1422-S2,1422-S2,1011
457,1423,1423,400
458,1423-S,1423-S,1004
459,1423-S2,1423-S2,110
460,1423POD4,1423POD4,401
461,1424-A,1424-A,16
462,1424-S,1424-S,250
463,1424-S2,1424-S2,692
464,1424-S3,1424-S3,150
465,1424-S4,1424-S4,742
466,1425 into 9497,1425 into 9497,412
467,14265,14265,664
468,1427,1427,160
469,1427 POD 6,1427 POD 6,35
470,1427-S,1427-S,1098
471,1428,1428,202
472,1428 POD 3,1428 POD 3,429
473,1428-A;1879,1428-A;1879,46
474,1428-B,1428-B,303
475,1428-BS4,1428-BS4,840
476,1428-BS5,1428-BS5,52
477,1428-BS7,1428-BS7,1089
478,1428-BS8,1428-BS8,1217
479,1428-S,1428-S,202
480,1429;1376-S2,1429;1376-S2,933
481,143,143,963
482,143-S,143-S,960
483,143-S2,143-S2,795
484,1430,1430,1340
485,1431,1431,1178
486,1432;2475,1432;2475,1002
487,1433 POD 4,1433 POD 4,582
488,1433-S,1433-S,1337
489,1435,1435,167
490,1439-S3,1439-S3,1328
491,1440 POD 3,1440 POD 3,501
492,1441,1441,1346
493,1443,1443,74
494,1445-AS2,1445-AS2,294
495,1447,1447,584
496,1447-S POD 5,1447-S POD 5,495
497,1447;1530-S,1447;1530-S,264
498,1447;1530-S2,1447;1530-S2,263
499,1448-A,1448-A,1120
500,1448-S,1448-S,1308
501,1448-S2,1448-S2,1144
502,1448-S4,1448-S4,278
503,1449,1449,117
504,1449-S,1449-S,1139
505,1452,1452,1275
506,1452-S2,1452-S2,888
507,1452-S3,1452-S3,700
508,1453 A,1453 A,285
509,1453-AS,1453-AS,285
510,1453-C,1453-C,436
511,1455 POD 4,1455 POD 4,338
512,1455 S-2,1455 S-2,474
513,1455-S,1455-S,252
514,1456,1456,74
515,1456-S,1456-S,1091
516,1458,1458,589
517,1458-S,1458-S,1126
518,1458-S2,1458-S2,39
519,1459,1459,341
520,1461,1461,403
521,1461 BS-BB,1461 BS-BB,519
522,1461 POD4,1461 POD4,385
523,1461-B-B-A,1461-B-B-A,822
524,1461-BA,1461-BA,444
525,1461-S,1461-S,403
526,1465,1465,256
527,1465-E,1465-E,256
528,1469;1508-A,1469;1508-A,837
529,1470 Pod 3,1470 Pod 3,542
530,1470-S,1470-S,84
531,1471,1471,281
532,1472-S,1472-S,974
533,1472-S2,1472-S2,127
534,1472-S3,1472-S3,905
535,1474,1474,29
536,1474-A,1474-A,1067
537,1474-S,1474-S,1198
538,1475-A,1475-A,426
539,1478;1520-L,1478;1520-L,586
540,1479,1479,1047
541,1480,1480,857
542,1480-S,1480-S,424
543,1481-D,1481-D,483
544,1481-POD 8,1481-POD 8,772
545,1481-S2,1481-S2,104
546,1481-S3,1481-S3,772
547,1481-S4,1481-S4,247
548,1481-S5,1481-S5,405
549,1481-S6,1481-S6,804
550,1485-S,1485-S,1124
551,1485-S3,1485-S3,511
552,1487-A,1487-A,149
553,1487-ABS,1487-ABS,1230
554,1487-AE,1487-AE,391
555,1488,1488,501
556,1488-S,1488-S,214
557,149-C,149-C,732
558,1491-A,1491-A,716
559,1491-S,1491-S,69
560,1495,1495,70
561,1495-AS,1495-AS,1320
562,1495-B,1495-B,986
563,1495-S-3,1495-S-3,1184
564,1495-S-4,1495-S-4,1229
565,1495-S6,1495-S6,1184
566,150,150,1182
567,1500 POD16,1500 POD16,628
568,1500-S,1500-S,1191
569,1500-S5,1500-S5,1179
570,1500-S6,1500-S6,381
571,1500-S7,1500-S7,1192
572,1500-S8,1500-S8,188
573,1502-A,1502-A,1128
574,1502-E,1502-E,1286
575,1503,1503,1130
576,1503-D;2088-A,1503-D;2088-A,466
577,1503;1578-S,1503;1578-S,855
578,1504,1504,487
579,1504-S2,1504-S2,421
580,1504-S3,1504-S3,1347
581,1505,1505,267
582,1505 POD 4,1505 POD 4,92
583,1505-S,1505-S,1211
584,1505-S2,1505-S2,1223
585,1506-G,1506-G,377
586,1507,1507,177
587,151,151,534
588,1510-S4,1510-S4,361
589,1510-S6,1510-S6,1050
590,1510-S8,1510-S8,1159
591,1511,1511,687
592,1511-A,1511-A,734
593,1511-S,1511-S,1065
594,1512,1512,516
595,1514,1514,1207
596,1515,1515,972
597,1516,1516,124
598,1516 POD 5,1516 POD 5,1272
599,1516 POD 6,1516 POD 6,418
600,1516-S,1516-S,973
601,1518-A,1518-A,1304
602,1518-S4,1518-S4,340
603,1519,1519,797
604,1519 POD 5,1519 POD 5,464
605,1519-S,1519-S,67
606,1519-S2,1519-S2,492
607,1520-H;1521-H,1520-H;1521-H,320
608,1521 POD 4,1521 POD 4,422
609,1521-M,1521-M,343
610,1522-BS3,1522-BS3,1142
611,1522-C,1522-C,657
612,1524 S5,1524 S5,509
613,1524-S,1524-S,212
614,1524-S3,1524-S3,1033
615,1524-S4,1524-S4,1099
616,1524-S6,1524-S6,1092
617,1525,1525,452
618,1525 POD3,1525 POD3,860
619,1525-B,1525-B,623
620,1525-S,1525-S,452
621,1525POD5,1525POD5,885
622,1526,1526,1155
623,1527-F,1527-F,613
624,1530-S,1530-S,275
625,1530-S-2,1530-S-2,116
626,1531,1531,799
627,1531-S,1531-S,1165
628,1531-S2,1531-S2,799
629,1535,1535,678
630,1535-S,1535-S,64
631,1536,1536,988
632,15368 BC,15368 BC,576
633,1537-AS2,1537-AS2,1060
634,1537-AS3,1537-AS3,1060
635,1537-S2,1537-S2,415
636,1537-S4,1537-S4,506
637,1537-S5,1537-S5,415
638,1537-S;1338-F,1537-S;1338-F,794
639,1537;1338-F,1537;1338-F,506
640,1538 C-A,1538 C-A,652
641,1538-CD,1538-CD,371
642,1538S,1538S,1324
643,1540 -AE,1540 -AE,25
644,1540 A-B,1540 A-B,665
645,1540-S,1540-S,1061
646,1541,1541,1318
647,1541-S,1541-S,1170
648,1541-S5,1541-S5,1319
649,1542,1542,771
650,1542-S,1542-S,121
651,1542-S2,1542-S2,1236
652,1542-S3,1542-S3,211
653,1543,1543,184
654,1543-A,1543-A,451
655,1543-A-S-5,1543-A-S-5,485
656,1543-AS3,1543-AS3,450
657,1543-S,1543-S,591
658,1547,1547,300
659,1547-A,1547-A,1248
660,1557 POD 5,1557 POD 5,479
661,1557 POD 8,1557 POD 8,602
662,1557 POD7,1557 POD7,284
663,1557-POD6,1557-POD6,352
664,1557-S-2,1557-S-2,266
665,156,156,1090
666,1571,1571,1235
667,1571-S2,1571-S2,1238
668,1572,1572,189
669,1572 POD,1572 POD,189
670,1572 S,1572 S,189
671,1578,1578,289
672,1578-S,1578-S,1258
673,158,158,681
674,158-S,158-S,924
675,1580,1580,58
676,1582,1582,420
677,1582-POD5,1582-POD5,420
678,1582-S3,1582-S3,1204
679,1583,1583,113
680,1586,1586,270
681,1586-S,1586-S,246
682,1586-S2,1586-S2,1135
683,1588,1588,697
684,1588-A,1588-A,147
685,1588-CS,1588-CS,1241
686,1588-S,1588-S,697
687,1589,1589,406
688,1589 POD3,1589 POD3,406
689,1589-A,1589-A,832
690,1589-C,1589-C,102
691,1589C POD 2,1589C POD 2,102
692,159,159,358
693,1606,1606,1284
694,1606-S2,1606-S2,965
695,161,161,355
696,1616-C,1616-C,789
697,1616B POD 2,1616B POD 2,1121
698,1617 S-3,1617 S-3,1190
699,161A,161A,355
700,1626 POD 2,1626 POD 2,838
701,1626;1626-A,1626;1626-A,881
702,163,163,877
703,163-S,163-S,248
704,164,164,164
705,165,165,532
706,1657,1657,1337
707,1662,1662,800
708,1668,1668,743
709,1677 POD 3,1677 POD 3,18
710,1677 POD-2,1677 POD-2,18
711,1678,1678,123
712,16789-S2,16789-S2,570
713,1679 S,1679 S,570
714,1679 S2,1679 S2,570
715,1679-S2,1679-S2,570
716,1680,1680,129
717,1683-S2,1683-S2,75
718,1684-S,1684-S,308
719,1687,1687,137
720,1688,1688,1220
721,1691,1691,1252
722,1694-S POD 2,1694-S POD 2,298
723,1694;1694-S,1694;1694-S,1074
724,1695-S,1695-S,1231
725,1696 POD4,1696 POD4,572
726,1696-S2,1696-S2,307
727,1697,1697,51
728,1701,1701,1012
729,1703;1858,1703;1858,1210
730,1708,1708,1200
731,1716,1716,201
732,1716-S,1716-S,201
